Weather and Climate Billion-Dollar Disasters to affect New York from 2008-2024
Cost values are in millions of dollars
Name,Disaster,Begin Date,End Date,CPI-Adjusted Cost,Unadjusted Cost,Deaths
"Western, Central and Northeast Severe Weather (January 2008)",Severe Storm,20080104,20080109,1473,982,12
"Midwest/Mid-Atlantic Severe Weather (June 2008)",Severe Storm,20080606,20080612,2355.7,1635.9,18
"Northeast Flooding (March 2010)",Flooding,20100301,20100331,2692.6,1844.2,11
"Midwest/Northeast Severe Storms and Flooding (July 2010)",Severe Storm,20100720,20100723,1375.1,948.3,0
"Groundhog Day Blizzard (February 2011)",Winter Storm,20110201,20110203,2565.7,1794.2,36
"Hurricane Irene (August 2011)",Tropical Cyclone,20110826,20110828,18756.7,13494,45
"Tropical Storm Lee (September 2011)",Tropical Cyclone,20110901,20110905,3492.4,2512.5,21
"Northeastern Winter Storm (October 2011)",Winter Storm,20111029,20111030,1285.8,925,1
"Southern Plains/Midwest/Northeast Severe Weather (May 2012)",Severe Storm,20120525,20120530,3156.1,2303.7,1
"Hurricane Sandy (October 2012)",Tropical Cyclone,20121030,20121031,88453.9,65039.6,159
"U.S. Drought/Heat Wave (2012)",Drought,20120101,20121231,41705.2,30003.6,123
"Midwest/Plains/East Tornadoes (May 2013)",Severe Storm,20130518,20130522,3240.5,2400.3,27
"Midwest/Plains/Northeast Tornadoes (May 2013)",Severe Storm,20130527,20130531,2448.4,1813.5,10
"Midwest/Southeast/Northeast Winter Storm (January 2014)",Winter Storm,20140105,20140108,2933.4,2172.7,16
"Midwest/Southeast/Northeast Tornadoes and Flooding (April 2014)",Severe Storm,20140427,20140501,2309.2,1736.1,33
"Rockies/Midwest/Eastern Severe Weather (May 2014)",Severe Storm,20140518,20140523,4938.6,3713.2,0
"Michigan and Northeast Flooding (August 2014)",Flooding,20140811,20140813,1361.9,1031.7,2
"Central and Eastern Winter storm, Cold Wave (February 2015)",Winter Storm,20150214,20150220,3969.3,2962.1,30
"Central and Northeast Severe Weather (June 2015)",Severe Storm,20150621,20150625,1547.1,1172,1
"Southeast and Eastern Tornadoes (February 2016)",Severe Storm,20160222,20160224,1383.5,1040,10
"Rockies and Northeast Severe Weather (July 2016)",Severe Storm,20160728,20160730,1920,1465.6,0
"West/Northeast/Southeast Drought (2016)",Drought,20160101,20161231,4580,3443.5,0
"Midwest Tornado Outbreak (March 2017)",Severe Storm,20170306,20170308,2828.8,2176,2
"North Central Severe Weather and Tornadoes (May 2017)",Severe Storm,20170515,20170518,1214.1,941,1
"Midwest Severe Weather (June 2017)",Severe Storm,20170612,20170616,1946.7,1509,0
"Central and Eastern Winter Storm (January 2018)",Winter Storm,20180103,20180105,1324.6,1043,22
"Northeast Winter Storm (March 2018)",Winter Storm,20180301,20180303,2786.4,2194,9
"Southern and Eastern Tornadoes and Severe Weather (April 2018)",Severe Storm,20180413,20180416,1660.7,1318,3
"Central and Northeast Severe Weather (May 2018)",Severe Storm,20180501,20180504,1751.3,1390,0
"Central and Eastern Severe Weather (May 2018)",Severe Storm,20180513,20180515,1726.2,1370,5
"Southeast, Ohio Valley and Northeast Severe Weather (February 2019)",Severe Storm,20190223,20190225,1547.2,1237.5,2
"Southeast Tornadoes and Northern Storms and Flooding (January 2020)",Severe Storm,20200110,20200112,1401.8,1149,10
"South, East and Northeast Severe Weather (February 2020)",Severe Storm,20200205,20200207,1532.2,1256,3
"Southeast and Eastern Tornado Outbreak (April 2020)",Severe Storm,20200412,20200413,4236.2,3444,35
"Hurricane Isaias (August 2020)",Tropical Cyclone,20200803,20200804,5756.1,4757,16
"Northwest, Central, Eastern Winter Storm and Cold Wave (February 2021)",Winter Storm,20210210,20210219,27223.2,22686,262
"Southeast Tornadoes and Severe Weather (March 2021)",Severe Storm,20210324,20210325,1995.8,1677,6
"Tropical Storm Elsa (July 2021)",Tropical Cyclone,20210707,20210709,1407.1,1213,1
"Tropical Storm Fred (August 2021)",Tropical Cyclone,20210816,20210818,1481.3,1277,7
"Hurricane Ida (August 2021)",Tropical Cyclone,20210829,20210901,84608.1,73572,96
"Southeast, Central Tornado Outbreak (December 2021)",Severe Storm,20211210,20211210,4463.1,3915,93
"Southeast Tornado Outbreak (April 2022)",Severe Storm,20220404,20220406,1544.8,1417,3
"Central Derecho (June 2022)",Severe Storm,20220613,20220613,3418.6,3195,1
"North Central and Eastern Severe Weather (July 2022)",Severe Storm,20220722,20220724,1433.8,1340,1
"Central and Eastern Winter Storm and Cold Wave (December 2022)",Winter Storm,20221221,20221226,8951.7,8445,87
"Northeastern Winter Storm/Cold Wave (February 2023)",Winter Storm,20230202,20230205,1838.8,1751,1
"Southern and Eastern Severe Weather (April 2023)",Severe Storm,20230324,20230326,2956,2815,23
"Central Tornado Outbreak and Eastern Severe Weather (March 2023)",Severe Storm,20230331,20230401,5909.8,5628,33
"Rockies Hail Storms and Central and Eastern Severe Weather (June 2023)",Severe Storm,20230621,20230626,5453.9,5244,8
"Northeastern Flooding and North Central Severe Weather (July 2023)",Flooding,20230709,20230715,2230.4,2165,10
"Northeastern and Eastern Severe Weather (August 2023)",Severe Storm,20230805,20230808,1680.2,1631,4
"East Coast Storm and Flooding (December 2023)",Flooding,20231216,20231218,1314.4,1276,5
"Southern Tornado Outbreak and East Coast Storm (January 2024)",Severe Storm,20240108,20240110,2780.2,2726,3
"Central, Southern, Northeastern Winter Storm and Cold Wave (January 2024)",Winter Storm,20240114,20240118,1948.3,1910,41
"Central and Eastern Severe Weather (February 2024)",Severe Storm,20240227,20240228,1534,1504,0
"Central Tornado Outbreak and Eastern Severe Weather (April 2024)",Severe Storm,20240401,20240403,2465.5,2441,3
"Southern and Eastern Severe Weather (April 2024)",Severe Storm,20240408,20240411,2725.1,2698,0
"Central, Southern, Eastern Severe Weather (May 2024)",Severe Storm,20240518,20240522,4907.8,4859,5
"Central and Northeast Severe Weather (June 2024)",Severe Storm,20240624,20240626,1704,1704,3
"Hurricane Beryl (July 2024)",Tropical Cyclone,20240708,20240708,7219,7219,46
"Central and Eastern Tornado Outbreak and Severe Weather (July 2024)",Severe Storm,20240713,20240716,2435,2435,2
"Hurricane Debby (August 2024)",Tropical Cyclone,20240805,20240809,2476,2476,17
