Weather and Climate Billion-Dollar Disasters to affect Oregon from 2008-2024
Cost values are in millions of dollars
Name,Disaster,Begin Date,End Date,CPI-Adjusted Cost,Unadjusted Cost,Deaths
"Western, Central and Northeast Severe Weather (January 2008)",Severe Storm,20080104,20080109,1473,982,12
"U.S. Wildfires (Fall 2008)",Wildfire,20080901,20081130,1777,1234,16
"U.S. Drought (2008)",Drought,20080101,20081231,10514.8,7009.8,0
"Southwest/Great Plains Drought (2009)",Drought,20090101,20091231,5203.2,3492,0
"Texas, New Mexico, Arizona Wildfires (Summer-Fall 2011)",Wildfire,20110601,20111130,2549.1,1820.8,5
"Western Wildfires (Summer-Fall 2012)",Wildfire,20120601,20121130,2399.2,1738.5,8
"Western/Plains Drought/Heat Wave (Spring-Fall 2013)",Drought,20130301,20131130,14283.6,10425.9,53
"Western Drought (2014)",Drought,20140101,20141231,5334.8,3951.7,0
"Western and Alaskan Wildfires (Summer-Fall 2015)",Wildfire,20150601,20151130,3996.9,3028,12
"Western Drought (2015)",Drought,20150101,20151231,6029.3,4466,0
"Western/Southeast Wildfires (Summer-Fall 2016)",Wildfire,20160601,20161231,3137.5,2395,21
"Western Wildfires, California Firestorm (Summer-Fall 2017)",Wildfire,20170601,20171231,23226.5,18005,54
"Southwest/Southern Plains Drought (Summer-Fall 2018)",Drought,20180601,20181230,3797.4,2990,0
"Western Wildfires, California Firestorm (Summer-Fall 2018)",Wildfire,20180601,20181231,30000,24000,106
"Western Wildfires - California, Oregon, Washington Firestorms (Fall 2020)",Wildfire,20200801,20201230,19904.5,16450,46
"Western/Central Drought and Heat Wave (Summer-Fall 2020)",Drought,20200601,20201230,5439.1,4495,45
"Northwest, Central, Eastern Winter Storm and Cold Wave (February 2021)",Winter Storm,20210210,20210219,27223.2,22686,262
"Western Wildfires (2021)",Wildfire,20210601,20211231,12064,10400,8
"Western Drought and Heat Wave (2021)",Drought,20210101,20211231,10201.9,8431,229
"Western Wildfires (Spring-Fall 2022)",Wildfire,20220401,20221130,3327.9,3110,17
"Central and Eastern Winter Storm and Cold Wave (December 2022)",Winter Storm,20221221,20221226,8951.7,8445,87
"Western/Central Drought and Heat Wave (2022)",Drought,20220101,20221231,23480.6,20965,136
"Southern/Midwestern Drought and Heatwave (Spring-Fall 2023)",Drought,20230401,20230930,14786.7,14082,247
"Northwest Winter Storm (January 2024)",Winter Storm,20240112,20240114,1723.8,1690,20
